Calendar Year,Fishery,Species Category,Species (or group),Number of vessels with observer data ,Observed Mortalities (number),Observed Live Releases,Number of sets observed,Observed Interactions (number),Observed Interaction Rate (per set),Observed Mortality rate (per set),LATITUDE (5° cell),LONGITUDE (5° cell)
2015,S,SHK,WHALE SHARK,58,0,24,481,27,0.056133056,0,2.5,147.5
2015,S,SHK,WHALE SHARK,79,0,34,514,38,0.073929961,0,2.5,152.5
2015,S,SHK,WHALE SHARK,108,0,21,986,21,0.021298174,0,2.5,157.5
2015,S,SHK,WHALE SHARK,145,0,33,1619,34,0.021000618,0,2.5,162.5
2015,S,SHK,WHALE SHARK,155,0,43,2102,45,0.021408183,0,2.5,167.5
2015,S,SHK,WHALE SHARK,137,1,5,1270,6,0.004724409,0.000787402,2.5,172.5
2015,S,SHK,WHALE SHARK,147,0,8,1375,9,0.006545455,0,2.5,177.5
2015,S,SHK,WHALE SHARK,16,0,1,49,1,0.020408163,0,7.5,147.5
2015,S,SHK,WHALE SHARK,21,0,2,47,2,0.042553191,0,7.5,157.5
2015,S,SHK,WHALE SHARK,12,0,1,19,1,0.052631579,0,7.5,177.5
2016,S,SHK,WHALE SHARK,16,0,2,117,2,0.017094017,0,-12.5,157.5
2016,S,SHK,WHALE SHARK,29,0,1,121,1,0.008264463,0,-12.5,162.5
2016,S,SHK,WHALE SHARK,20,0,1,49,1,0.020408163,0,-12.5,167.5
2016,S,SHK,WHALE SHARK,88,0,2,738,2,0.002710027,0,-7.5,-177.5
2016,S,SHK,WHALE SHARK,31,0,1,197,1,0.005076142,0,-7.5,-167.5
2016,S,SHK,WHALE SHARK,24,0,1,521,1,0.001919386,0,-7.5,-147.5
2016,S,SHK,WHALE SHARK,70,0,2,571,2,0.003502627,0,-7.5,152.5
2016,S,SHK,WHALE SHARK,58,0,1,342,1,0.002923977,0,-7.5,157.5
2016,S,SHK,WHALE SHARK,118,0,1,1073,1,0.000931966,0,-7.5,162.5
2016,S,SHK,WHALE SHARK,85,0,2,676,3,0.00443787,0,-7.5,167.5
2016,S,SHK,WHALE SHARK,75,0,1,282,1,0.003546099,0,-7.5,172.5
2016,S,SHK,WHALE SHARK,104,0,3,1059,3,0.002832861,0,-7.5,177.5
2016,S,SHK,WHALE SHARK,119,1,2,1583,3,0.001895136,0.000631712,-2.5,-177.5
2016,S,SHK,WHALE SHARK,37,0,1,162,1,0.00617284,0,-2.5,-167.5
2016,S,SHK,WHALE SHARK,24,0,1,134,1,0.007462687,0,-2.5,-162.5
2016,S,SHK,WHALE SHARK,17,0,1,94,1,0.010638298,0,-2.5,-157.5
2016,S,SHK,WHALE SHARK,21,0,1,82,1,0.012195122,0,-2.5,-152.5
2016,S,SHK,WHALE SHARK,29,0,1,175,1,0.005714286,0,-2.5,142.5
2016,S,SHK,WHALE SHARK,56,0,3,415,3,0.007228916,0,-2.5,147.5
2016,S,SHK,WHALE SHARK,114,0,12,1132,12,0.010600707,0,-2.5,152.5
2016,S,SHK,WHALE SHARK,150,0,25,2059,26,0.012627489,0,-2.5,157.5
2016,S,SHK,WHALE SHARK,145,0,11,1007,11,0.010923535,0,-2.5,162.5
2016,S,SHK,WHALE SHARK,150,0,25,2513,25,0.009948269,0,-2.5,167.5
2016,S,SHK,WHALE SHARK,137,0,5,2400,5,0.002083333,0,-2.5,172.5
2016,S,SHK,WHALE SHARK,151,0,2,2591,3,0.001157854,0,-2.5,177.5
2016,S,SHK,WHALE SHARK,44,0,1,192,1,0.005208333,0,2.5,-177.5
2016,S,SHK,WHALE SHARK,51,0,2,382,2,0.005235602,0,2.5,-172.5
