x,y,blue.mean.occurrence,fin.mean.occurrence,humpback.mean.occurrence,sperm.mean.occurrence
-6.5,71.5,0.787967741,0.686320722,0.536368251,0.727575719
-5.5,71.5,0.759348333,0.658506632,0.536473215,0.678253353
-4.5,71.5,0.756340384,0.618553996,0.559767067,0.605450153
-3.5,71.5,0.741837263,0.628542602,0.562275648,0.603135943
-2.5,71.5,0.728039563,0.630607724,0.560130715,0.614728153
-1.5,71.5,0.718143165,0.630363524,0.573381484,0.618249536
-0.5,71.5,0.694905758,0.609951198,0.562160134,0.642176807
0.5,71.5,0.684431553,0.576322556,0.552157283,0.653562129
1.5,71.5,0.683798552,0.536619008,0.541688204,0.655661464
2.5,71.5,0.679219365,0.52701211,0.539465487,0.671600103
3.5,71.5,0.682167053,0.526215017,0.549815953,0.664480567
4.5,71.5,0.68767333,0.527653933,0.573281646,0.643469989
5.5,71.5,0.695674837,0.533896089,0.594268143,0.633204281
6.5,71.5,0.70118928,0.54163903,0.601931393,0.637470663
7.5,71.5,0.711562693,0.566890001,0.612472236,0.641145706
8.5,71.5,0.721238315,0.599105179,0.618072569,0.646202505
9.5,71.5,0.723513484,0.611352026,0.605322659,0.660080373
10.5,71.5,0.713529229,0.608719468,0.580605507,0.671719849
11.5,71.5,0.718964636,0.619077265,0.550915718,0.685826123
12.5,71.5,0.730691016,0.636289597,0.550704598,0.715288103
13.5,71.5,0.725322843,0.672804415,0.56527406,0.760630369
14.5,71.5,0.721611738,0.71128124,0.585717797,0.800061345
15.5,71.5,0.750354409,0.727779329,0.619303763,0.795676649
16.5,71.5,0.739480317,0.687028527,0.616106153,0.738889217
17.5,71.5,0.698947847,0.644459605,0.652487814,0.614373386
18.5,71.5,0.674603462,0.639350951,0.683290899,0.564620852
19.5,71.5,0.68120122,0.651311278,0.696794689,0.566915274
20.5,71.5,0.705107689,0.669193268,0.707613051,0.57878685
21.5,71.5,0.716185272,0.653493106,0.674758077,0.586810827
